0x80003278 __init_registers
0x80003490 memcpy
0x80008ad4 __nw__FUlPCcPCc
0x80011a58 UpdatePhazonDamage__7CPlayerFfR13CStateManager
0x8001660c wstring_l__4rstlFPCw
0x80016920 Freeze__7CPlayerFR13CStateManagerUiUsUi
0x800182fc SetSpawnedMorphBallState__7CPlayerFQ27CPlayer21EPlayerMorphBallStateR13CStateManager
0x8001915c UpdateVisorState__7CPlayerFRC11CFinalInputfR13CStateManager
0x8001aa68 UpdateGunState__7CPlayerFRC11CFinalInputR13CStateManager
0x8001ae84 __ct__7CPlayerF9TUniqueIdRC12CTransform4fRC6CAABoxUi9CVector3fffffRC13CMaterialList
0x80020774 ActivateNewGamePopup__19SNewFileSelectFrameFv
0x80021a20 FinishedLoading__19SNewFileSelectFrame
0x8002545c __sinit_CFrontEndUI_cpp
0x80025a08 SetGameState__9CMainFlowF17EClientFlowStatesR18CArchitectureQueue
0x80025cd8 AdvanceGameState__9CMainFlowFR18CArchitectureQueue
0x80025d8c OnMessage__9CMainFlowFRC20CArchitectureMessageR18CArchitectureQueue
0x8002b784 __ct__13CSplashScreenFQ213CSplashScreen13ESplashScreen
0x80046d9c UpdateHintState__13CStateManagerFf
0x80046f58 UpdateEscapeSequenceTimer__13CStateManagerFf
0x8004bf5c ApplyLocalDamage__13CStateManagerFRC9CVector3fRC9CVector3fR6CActorfRC11CWeaponMode
0x80067e44 Update__9CSamusHudFfRC13CStateManagerUibb
0x8006d57c DisplayHudMemo__9CSamusHudFRC7wstringRC12SHudMemoInfo
0x8009267c GetIsFusionEnabled__12CPlayerStateFv
0x80092bc0 ResetVisor__12CPlayerStateFv
0x80092bd8 ItemEnabled__12CPlayerStateCFQ212CPlayerState9EItemType
0x80092c3c DisableItem__12CPlayerStateFQ212CPlayerState9EItemType
0x80092c90 EnableItem__12CPlayerStateFQ212CPlayerState9EItemType
0x80092d0c HasPowerUp__12CPlayerStateCFQ212CPlayerState9EItemType
0x80092de0 DecrPickUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80092e3c IncrPickUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80092f4c ResetAndIncrPickUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80092f7c CalculateHealth__12CPlayerStateFUi
0x80092fb4 InitializePowerUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80093274 __ct__12CPlayerStateFR12CInputStream
0x80093514 __ct__12CPlayerStateFv
0x800db4c4 AcceptScriptMsg__17CScriptSpawnPointF20EScriptObjectMessage9TUniqueIdR13CStateManager
0x800e1ec4 Draw__15CMappableObjectCFiRC13CMapWorldInfofb
0x800ed264 ComputeBoostBallMovement__10CMorphBallFRC11CFinalInputRC13CStateManagerf
0x800ef664 ComputeMarioMovement__10CMorphBallFRC11CFinalInputR13CStateManagerf
0x800f1a3c IsMovementAllowed__10CMorphBallCFv
0x800f1acc ComputeBallMovement__10CMorphBallFRC11CFinalInputR13CStateManagerf
0x801477f0 ThinkAreaDamage__22CScriptSpecialFunctionFfR13CStateManager
0x801496b0 ThinkSaveStation__22CScriptSpecialFunctionFfR13CStateManager
0x80149834 ShouldSkipCinematic__22CScriptSpecialFunctionFR13CStateManager
0x801498a4 AcceptScriptMsg__22CScriptSpecialFunctionF20EScriptObjectMessage9TUniqueIdR13CStateManager
0x8015ed64 IsAreaVisible__13CMapWorldInfoCF7TAreaId
0x8015ede0 IsAreaVisited__13CMapWorldInfoCF7TAreaId
0x8015f390 IsMapped__13CMapWorldInfoCF7TAreaId
0x8015f48c IsWorldVisible__13CMapWorldInfoCF7TAreaId
0x801a945c GetEnergyDrainIntensity__18CPlayerEnergyDrainCFv
0x801c1bd4 SetBombParams__17CHudBallInterfaceFiiibbb
0x801c7b60 SetCurrentWorldId__10CGameStateFUi
0x801c7ba4 GetCurrentWorldState__10CGameStateCFv
0x801c7bc8 CurrentWorldState__10CGameStateFv
0x801c7bf4 StateForWorld__10CGameStateFUi
0x801c91c8 SetDesiredAreaAssetId__11CWorldStateFUi
0x801c94fc __ct__11CWorldStateFUi
0x801c9994 __ct__14CSystemOptionsFRC12CInputStream
0x801c9d04 __ct__14CSystemOptionsFv
0x80201ebc ResetToDefaults__12CGameOptionsFv
0x80225d14 SetLayerActive__16CWorldLayerStateFiib
0x8027116c UpdateMorphBallTransition__7CPlayerFfR13CStateManager
0x80271ff8 LeaveMorphBallState__7CPlayerFR13CStateManager
0x8027216c EnterMorphBallState__7CPlayerFR13CStateManager
0x80272290 TransitionFromMorphBallState__7CPlayerFR13CStateManager
0x80272b3c TransitionToMorphBallState__7CPlayerFR13CStateManager
0x80273c20 SetAreaPlayerHint__7CPlayerFRC17CScriptPlayerHintRC13CStateManager
0x802741dc Teleport__7CPlayerFRC12CTransform4fR13CStateManagerb
0x80274544 BombJump__7CPlayerFRC9CVector3fR13CStateManager
0x80275544 SetMoveState__7CPlayerFQ27NPlayer20EPlayerMovementStateR13CStateManager
0x802770a8 SidewaysDashAllowed__7CPlayerCFffRC11CFinalInputR13CStateManager
0x802aff54 FindWidget__9CGuiFrameCFPCc
0x802b75f0 SetText__15CGuiTextSupportFRCQ24rstl66basic_string<w,Q24rstl14char_traits<w>,Q24rstl17rmemory_allocator>
0x802c4280 CrashScreenControllerPollBranch
0x80300520 Free__7CMemoryFPCv
0x803277dc internal_dereference__Q24rstl66basic_string<w,Q24rstl14char_traits<w>,Q24rstl17rmemory_allocator>Fv
0x803419fc GetString__12CStringTableCFi
0x8035b6dc PPCSetFpIEEEMode
0x8035d4a4 DVDOpen
0x8035d56c DVDClose
0x8035d7b4 DVDReadAsyncPrio
0x80369468 OSInit
